Task_Name,Start_Date,Finish_Date,Priority,WBS,Rollup,Milestone,Percent_Complete,Resource_Group,Notes,Icon,Highlight_Color,Marks
NimbusPay Modernization,2/2/2026,7/31/2026,0,NP,TRUE,FALSE,0.0,,Full program rollup spanning discovery through production rollout,,,
Discovery & Requirements,2/2/2026,2/27/2026,0,NP.1,TRUE,FALSE,0.0,,Requirements elicitation and scoping phase,,,Discovery
Architecture & Design,2/23/2026,3/13/2026,0,NP.2,TRUE,FALSE,0.0,,"System, API, data, and UX design",,,Design
Development Sprints,3/16/2026,6/5/2026,0,NP.3,TRUE,FALSE,0.0,,Four iterative build sprints,,,Build
QA & Testing,3/16/2026,6/19/2026,0,NP.4,TRUE,FALSE,0.0,,"Verification, validation, and quality gates",,,Verify
Operations Readiness,5/4/2026,7/17/2026,0,NP.5,TRUE,FALSE,0.0,,"Infrastructure, monitoring, and runbooks for production",,,Operate
Organizational Readiness,6/1/2026,7/17/2026,0,NP.6,TRUE,FALSE,0.0,,"Change management, training, and communications",,,Adopt
User Acceptance,5/11/2026,6/26/2026,0,NP.7,TRUE,FALSE,0.0,,Beta program and stakeholder UAT cycles,,,UAT
Production Deployment,7/6/2026,7/31/2026,0,NP.8,TRUE,FALSE,0.0,,Release candidate through hypercare,,,Launch
Project Kickoff,2/2/2026,2/2/2026,0,NP.1,FALSE,TRUE,0.0,Product,All-hands kickoff and charter walkthrough,calendar,skyblue,Discovery
Stakeholder Interviews,2/2/2026,2/13/2026,1,NP.1.1,FALSE,FALSE,0.0,Product,"Discovery sessions with finance, ops, and support leaders",group,skyblue,Discovery
Business Requirements Workshop,2/9/2026,2/13/2026,1,NP.1.2,FALSE,FALSE,0.0,Product,Capture and prioritize functional requirements,presentation,skyblue,Discovery
Regulatory Compliance Review,2/9/2026,2/20/2026,1,NP.1.3,FALSE,FALSE,0.0,Security,PCI DSS and SOC2 scope assessment,shield,skyblue,Discovery
Legacy System Audit,2/2/2026,2/20/2026,2,NP.1.4,FALSE,FALSE,0.0,Backend,Catalog current services and data flows,analysis,skyblue,Discovery
User Research Sessions,2/9/2026,2/20/2026,2,NP.1.5,FALSE,FALSE,0.0,UX,Contextual inquiries with merchant operators,heart,skyblue,Discovery
Non-functional Requirements Draft,2/16/2026,2/27/2026,2,NP.1.6,FALSE,FALSE,0.0,Backend,"Throughput, latency, and availability targets",ruler,skyblue,Discovery
Requirements Sign-off,2/27/2026,2/27/2026,0,NP.1,FALSE,TRUE,0.0,Product,Steering committee approves requirements baseline,check,skyblue,Discovery
Architecture Vision Workshop,2/23/2026,2/27/2026,1,NP.2.1,FALSE,FALSE,0.0,Backend,Set north-star architecture and constraints,lightbulb,steelblue,Design
System Architecture Spec,2/23/2026,3/6/2026,1,NP.2.2,FALSE,FALSE,0.0,Backend,Service decomposition and runtime topology,ruler,steelblue,Design
API Contract Design,3/2/2026,3/13/2026,2,NP.2.3,FALSE,FALSE,0.0,Backend,OpenAPI specs for payments and identity surfaces,code,steelblue,Design
Data Model Design,3/2/2026,3/13/2026,2,NP.2.4,FALSE,FALSE,0.0,Backend,Ledger schema and event sourcing patterns,database,steelblue,Design
UX Wireframes,3/2/2026,3/13/2026,2,NP.2.5,FALSE,FALSE,0.0,UX,Low-fidelity flows for primary personas,pencil,steelblue,Design
Visual Design System,3/9/2026,3/13/2026,2,NP.2.6,FALSE,FALSE,0.0,UX,Component library and tokens,presentation,steelblue,Design
Security Threat Model,3/2/2026,3/13/2026,1,NP.2.7,FALSE,FALSE,0.0,Security,STRIDE analysis on new attack surface,shield,steelblue,Design
Architecture Review Board,3/13/2026,3/13/2026,1,NP.2,FALSE,TRUE,0.0,Backend,Cross-team review and approval,star,steelblue,Design
Sprint 1 Planning,3/16/2026,3/16/2026,1,NP.3.S1,FALSE,TRUE,0.0,Product,Backlog refinement for auth and API foundation,calendar,seagreen,Sprint1
Identity Service Build,3/16/2026,4/3/2026,1,NP.3.S1.1,FALSE,FALSE,0.0,Backend,"OIDC issuer, user store, and token service",code,seagreen,Sprint1
Auth Web Implementation,3/16/2026,4/3/2026,2,NP.3.S1.2,FALSE,FALSE,0.0,Frontend,"Sign-in, MFA, and account recovery screens",laptop,seagreen,Sprint1
Mobile Auth Module,3/16/2026,4/3/2026,2,NP.3.S1.3,FALSE,FALSE,0.0,Mobile,iOS and Android biometric login,phone,seagreen,Sprint1
CI/CD Pipeline Setup,3/16/2026,3/27/2026,1,NP.3.S1.4,FALSE,FALSE,0.0,DevOps,"Build, test, and artifact promotion stages",tools,seagreen,Sprint1
Sprint 1 Demo,4/3/2026,4/3/2026,2,NP.3.S1,FALSE,FALSE,0.0,Product,Stakeholder demo of authentication flow,presenter,seagreen,Sprint1
Sprint 1 Review,4/3/2026,4/3/2026,1,NP.3.S1,FALSE,TRUE,0.0,Product,Sprint outcomes accepted,flag,seagreen,Sprint1
Sprint 2 Planning,4/6/2026,4/6/2026,1,NP.3.S2,FALSE,TRUE,0.0,Product,Plan core features sprint,calendar,mediumseagreen,Sprint2
Payments Service Build,4/6/2026,4/24/2026,1,NP.3.S2.1,FALSE,FALSE,0.0,Backend,"Charge, refund, and dispute APIs",code,mediumseagreen,Sprint2
Ledger Service Build,4/6/2026,4/24/2026,1,NP.3.S2.2,FALSE,FALSE,0.0,Backend,Double-entry ledger with idempotent writes,database,mediumseagreen,Sprint2
Account Management UI,4/6/2026,4/24/2026,2,NP.3.S2.3,FALSE,FALSE,0.0,Frontend,Merchant dashboard for accounts and balances,laptop,mediumseagreen,Sprint2
Mobile Payments Flow,4/6/2026,4/24/2026,2,NP.3.S2.4,FALSE,FALSE,0.0,Mobile,Tap-to-pay and receipt screens,phone,mediumseagreen,Sprint2
Internal API Gateway,4/6/2026,4/17/2026,2,NP.3.S2.5,FALSE,FALSE,0.0,DevOps,"Routing, auth, and rate limiting",globe,mediumseagreen,Sprint2
